"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Reversal of Alkylation Damage By DNA Dioxygenases"	"Reversal of Alkylation Damage By DNA Dioxygenases"	2	2	2	1	0.00986193293885602	5	5	3	2	0	0
"STAT6-mediated induction of chemokines"	"STAT6-mediated induction of chemokines"	3	3	3	1	0.0138067061143984	7	7	3	2	0	0
"Sema3A PAK dependent Axon repulsion"	"Sema3A PAK dependent Axon repulsion"	16	16	16	1	0.193293885601578	98	117	17	2	0	0
"Serotonin and melatonin biosynthesis"	"Serotonin and melatonin biosynthesis"	5	5	5	1	0.0355029585798817	18	18	7	1	0	0
"Signaling by FGFR1 amplification mutants"	"Signaling by FGFR1 amplification mutants"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Signaling by FGFR2 amplification mutants"	"Signaling by FGFR2 amplification mutants"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Signaling by FGFR4 mutants"	"Signaling by FGFR4 mutants"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Signalling to ERK5"	"Signalling to ERK5"	2	2	2	1	0.0157790927021696	8	8	5	3	0	0
"Signalling to STAT3"	"Signalling to STAT3"	3	3	3	1	0.019723865877712	10	10	6	1	0	0
"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	"Sodium-coupled sulphate, di- and tri-carboxylate transporters"	5	5	5	1	0.0355029585798817	18	20	9	1	0	0
"Sodium/Calcium exchangers"	"Sodium/Calcium exchangers"	9	9	9	1	0.0828402366863905	42	46	15	1	0	0
"Sperm Motility And Taxes"	"Sperm Motility And Taxes"	9	9	9	1	0.0769230769230769	39	45	10	1	0	0
"Sterols are 12-hydroxylated by CYP8B1"	"Sterols are 12-hydroxylated by CYP8B1"	2	2	2	1	0.0236686390532544	12	12	7	5	0	0
"Stimulation of the cell death response by PAK-2p34"	"Stimulation of the cell death response by PAK-2p34"	2	2	2	1	0.0138067061143984	7	7	5	2	0	0
"Sulfide oxidation to sulfate"	"Sulfide oxidation to sulfate"	5	5	5	1	0.019723865877712	10	10	5	1	0	0
"Synthesis of CL"	"Synthesis of CL"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Synthesis of IP2, IP, and Ins in the cytosol"	"Synthesis of IP2, IP, and Ins in the cytosol"	11	11	11	1	0.0946745562130177	48	50	11	1	0	0
"Synthesis of IPs in the ER lumen"	"Synthesis of IPs in the ER lumen"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Synthesis of PI"	"Synthesis of PI"	2	2	2	1	0.00591715976331361	3	3	2	1	0	0
"Synthesis of PIPs at the late endosome membrane"	"Synthesis of PIPs at the late endosome membrane"	10	10	10	1	0.0887573964497041	45	49	9	1	0	0
"Synthesis of PS"	"Synthesis of PS"	2	2	2	1	0.0138067061143984	7	7	5	2	0	0
"Synthesis of UDP-N-acetyl-glucosamine"	"Synthesis of UDP-N-acetyl-glucosamine"	5	5	5	1	0.0276134122287968	14	14	5	1	0	0
"Synthesis of dolichyl-phosphate-glucose"	"Synthesis of dolichyl-phosphate-glucose"	1	1	1	1	0.00394477317554241	2	2	2	2	0	0
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)"	8	8	8	1	0.0650887573964497	33	33	6	1	0	0
"TET1,2,3 and TDG demethylate DNA"	"TET1,2,3 and TDG demethylate DNA"	4	4	4	1	0.0394477317554241	20	22	7	3	0	0
"TRAIL  signaling"	"TRAIL  signaling"	7	7	7	1	0.100591715976331	51	53	42	1	0	0
"TRKA activation by NGF"	"TRKA activation by NGF"	2	2	2	1	0.00788954635108481	4	4	3	1	0	0
"TRP channels"	"TRP channels"	25	25	25	1	0.244575936883629	124	166	17	1	0	0
"TWIK related potassium channel (TREK)"	"TWIK related potassium channel (TREK)"	3	3	3	1	0.0177514792899408	9	9	3	3	0	0
"TWIK-related alkaline pH activated K+ channel (TALK)"	"TWIK-related alkaline pH activated K+ channel (TALK)"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"TWIK-related spinal cord K+ channel (TRESK)"	"TWIK-related spinal cord K+ channel (TRESK)"	1	1	1	1	0.00788954635108481	4	4	4	4	0	0
"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)"	"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)"	3	3	3	1	0.00986193293885602	5	5	2	1	0	0
"Tandem pore domain halothane-inhibited K+ channel (THIK)"	"Tandem pore domain halothane-inhibited K+ channel (THIK)"	1	1	1	1	0.0157790927021696	8	8	8	8	0	0
"Terminal pathway of complement"	"Terminal pathway of complement"	7	7	7	1	0.108481262327416	55	65	18	1	0	0
"The AIM2 inflammasome"	"The AIM2 inflammasome"	3	3	3	1	0.00591715976331361	3	3	1	1	0	0
"The activation of arylsulfatases"	"The activation of arylsulfatases"	13	13	13	1	0.0631163708086785	32	36	6	1	0	0
"The fatty acid cycling model"	"The fatty acid cycling model"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"The proton buffering model"	"The proton buffering model"	3	3	3	1	0.0157790927021696	8	8	5	1	0	0
"Toxicity of botulinum toxin type C (BoNT/C)"	"Toxicity of botulinum toxin type C (BoNT/C)"	3	3	3	1	0.0177514792899408	9	9	5	1	0	0
"Transfer of LPS from LBP carrier to CD14"	"Transfer of LPS from LBP carrier to CD14"	2	2	2	1	0.0118343195266272	6	7	6	1	0	0
"Translesion synthesis by HREV1"	"Translesion synthesis by HREV1"	1	1	1	1	0.0019723865877712	1	1	1	1	0	0
"Translesion synthesis by Pol eta"	"Translesion synthesis by Pol eta"	1	1	1	1	0.00591715976331361	3	3	3	3	0	0
"Transmission across Electrical Synapses"	"Transmission across Electrical Synapses"	5	5	5	1	0.0355029585798817	18	19	9	1	0	0
"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"	8	8	8	1	0.0512820512820513	26	28	10	1	0	0
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane"	7	7	7	1	0.0256410256410256	13	15	3	1	0	0
"Tryptophan catabolism"	"Tryptophan catabolism"	11	11	11	1	0.0611439842209073	31	33	6	1	0	0
"Type II Na+/Pi cotransporters"	"Type II Na+/Pi cotransporters"	3	3	3	1	0.019723865877712	10	11	5	3	0	0
"Unblocking of NMDA receptor, glutamate binding and activation"	"Unblocking of NMDA receptor, glutamate binding and activation"	17	17	17	1	0.218934911242604	111	145	28	1	0	0
"Vitamin D (calciferol) metabolism"	"Vitamin D (calciferol) metabolism"	7	7	7	1	0.16370808678501	83	90	36	1	0	0
"Vitamins"	"Vitamins"	6	6	6	1	0.0394477317554241	20	20	7	1	0	0
"Xenobiotics"	"Xenobiotics"	20	20	20	1	0.110453648915187	56	62	6	1	0	0
"betaKlotho-mediated ligand binding"	"betaKlotho-mediated ligand binding"	3	3	3	1	0.0236686390532544	12	12	5	3	0	0
"binding of TCF/LEF:CTNNB1 to target gene promoters"	"binding of TCF/LEF:CTNNB1 to target gene promoters"	7	7	7	1	0.0473372781065089	24	24	6	1	0	0
"mRNA Editing"	"mRNA Editing"	4	4	4	1	0.0315581854043393	16	16	7	1	0	0
"mRNA Editing: A to I Conversion"	"mRNA Editing: A to I Conversion"	2	2	2	1	0.0157790927021696	8	8	6	2	0	0
"mRNA Editing: C to U Conversion"	"mRNA Editing: C to U Conversion"	2	2	2	1	0.0157790927021696	8	8	7	1	0	0
"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	"mitochondrial fatty acid beta-oxidation of saturated fatty acids"	8	8	8	1	0.0374753451676529	19	20	3	1	0	0
"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"	6	6	6	1	0.0236686390532544	12	14	3	1	0	0
"p75NTR negatively regulates cell cycle via SC1"	"p75NTR negatively regulates cell cycle via SC1"	6	6	6	1	0.0216962524654832	11	11	4	1	0	0
"p75NTR regulates axonogenesis"	"p75NTR regulates axonogenesis"	9	9	9	1	0.0710059171597633	36	39	9	1	0	0
"phospho-PLA2 pathway"	"phospho-PLA2 pathway"	2	2	2	1	0.019723865877712	10	10	8	2	0	0
"regulation of FZD by ubiquitination"	"regulation of FZD by ubiquitination"	21	21	21	1	0.134122287968442	68	87	14	1	0	0
"repression of WNT target genes"	"repression of WNT target genes"	14	14	14	1	0.0729783037475345	37	42	10	1	0	0
"t(4;14) translocations of FGFR3"	"t(4;14) translocations of FGFR3"	1	1	1	1	0.0177514792899408	9	9	9	9	0	0
"O-glycosylation of TSR domain-containing proteins"	"O-glycosylation of TSR domain-containing proteins"	39	39	38	0.974358974358974	0.380670611439842	193	318	29	0	0.000287820809768302	0.0119795750997062
"Apoptotic cleavage of cellular proteins"	"Apoptotic cleavage of cellular proteins"	38	38	37	0.973684210526316	0.353057199211045	179	263	42	0	0.000354949392329162	0.0146337639914707
"Amino acid transport across the plasma membrane"	"Amino acid transport across the plasma membrane"	31	31	30	0.967741935483871	0.118343195266272	60	76	5	0	0.00153851918122716	0.060694895270084
"Adherens junctions interactions"	"Adherens junctions interactions"	30	30	29	0.966666666666667	0.331360946745562	168	239	27	0	0.00189688309756808	0.071033630452419
"Amine compound SLC transporters"	"Amine compound SLC transporters"	30	30	29	0.966666666666667	0.181459566074951	92	110	10	0	0.00189688309756808	0.071033630452419
"Cytochrome P450 - arranged by substrate type"	"Cytochrome P450 - arranged by substrate type"	60	60	58	0.966666666666667	0.29585798816568	150	205	8	0	5.26504992761634e-05	0.00246630715253195
"Collagen formation"	"Collagen formation"	86	86	83	0.965116279069767	0.579881656804734	294	675	38	0	3.25903756626111e-06	0.000156591914661273
"ECM proteoglycans"	"ECM proteoglycans"	55	55	53	0.963636363636364	0.457593688362919	232	414	36	0	0.000138801668953858	0.0059476269487535
"CREB phosphorylation through the activation of Ras"	"CREB phosphorylation through the activation of Ras"	27	27	26	0.962962962962963	0.274161735700197	139	191	28	0	0.00355446053628894	0.130123085411138
"Keratan sulfate biosynthesis"	"Keratan sulfate biosynthesis"	27	27	26	0.962962962962963	0.134122287968442	68	79	11	0	0.00355446053628894	0.130123085411138
"EGFR downregulation"	"EGFR downregulation"	26	26	25	0.961538461538462	0.136094674556213	69	82	13	0	0.00438185644001898	0.156896823954041
"Fertilization"	"Fertilization"	26	26	25	0.961538461538462	0.161735700197239	82	97	10	0	0.00438185644001898	0.156896823954041
"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	26	26	25	0.961538461538462	0.181459566074951	92	123	12	0	0.00438185644001898	0.156896823954041
"Reproduction"	"Reproduction"	26	26	25	0.961538461538462	0.161735700197239	82	97	10	0	0.00438185644001898	0.156896823954041
"Signaling by Leptin"	"Signaling by Leptin"	26	26	25	0.961538461538462	0.185404339250493	94	113	28	0	0.00438185644001898	0.156896823954041
"WNT ligand biogenesis and trafficking"	"WNT ligand biogenesis and trafficking"	26	26	25	0.961538461538462	0.0867850098619329	44	50	4	0	0.00438185644001898	0.156896823954041
"WNT ligand secretion is abrogated by the PORCN inhibitor LGK974"	"WNT ligand secretion is abrogated by the PORCN inhibitor LGK974"	26	26	25	0.961538461538462	0.0867850098619329	44	50	4	0	0.00438185644001898	0.156896823954041
"Effects of PIP2 hydrolysis"	"Effects of PIP2 hydrolysis"	25	25	24	0.96	0.230769230769231	117	149	18	0	0.00540168558878196	0.189773354286686
"RORA activates circadian gene expression"	"RORA activates circadian gene expression"	25	25	24	0.96	0.276134122287968	140	180	32	0	0.00540168558878196	0.189773354286686
"SHC-related events triggered by IGF1R"	"SHC-related events triggered by IGF1R"	25	25	24	0.96	0.193293885601578	98	111	28	0	0.00540168558878196	0.189773354286686
"Synthesis of IP3 and IP4 in the cytosol"	"Synthesis of IP3 and IP4 in the cytosol"	25	25	24	0.96	0.252465483234714	128	167	20	0	0.00540168558878196	0.189773354286686
"Cytosolic tRNA aminoacylation"	"Cytosolic tRNA aminoacylation"	24	24	23	0.958333333333333	0.122287968441815	62	68	7	0	0.00665866509056301	0.229613190753876
"Fanconi Anemia pathway"	"Fanconi Anemia pathway"	24	24	23	0.958333333333333	0.19723865877712	100	120	20	0	0.00665866509056301	0.229613190753876
"REV-ERBA represses gene expression"	"REV-ERBA represses gene expression"	24	24	23	0.958333333333333	0.266272189349112	135	173	32	0	0.00665866509056301	0.229613190753876
"Endogenous sterols"	"Endogenous sterols"	23	23	22	0.956521739130435	0.130177514792899	66	80	8	0	0.00820789436309188	0.280079844222719
"NRAGE signals death through JNK"	"NRAGE signals death through JNK"	45	45	43	0.955555555555556	0.362919132149901	184	266	32	0	0.000940775501125923	0.0384224357325299
"Intrinsic Pathway"	"Intrinsic Pathway"	22	22	21	0.954545454545455	0.134122287968442	68	80	12	0	0.0101172636009665	0.339037182513814
"SHC-mediated signalling"	"SHC-mediated signalling"	22	22	21	0.954545454545455	0.177514792899408	90	98	28	0	0.0101172636009665	0.339037182513814
"SHC1 events in EGFR signaling"	"SHC1 events in EGFR signaling"	22	22	21	0.954545454545455	0.193293885601578	98	108	28	0	0.0101172636009665	0.339037182513814
"Voltage gated Potassium channels"	"Voltage gated Potassium channels"	43	43	41	0.953488372093023	0.32741617357002	166	239	20	0	0.00137278018486819	0.0553738682947877
"GRB2 events in EGFR signaling"	"GRB2 events in EGFR signaling"	21	21	20	0.952380952380952	0.191321499013807	97	106	28	0	0.0124704204734944	0.399456788264012
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	21	21	20	0.952380952380952	0.175542406311637	89	102	43	0	0.0124704204734944	0.399456788264012
"SOS-mediated signalling"	"SOS-mediated signalling"	21	21	20	0.952380952380952	0.159763313609467	81	91	28	0	0.0124704204734944	0.399456788264012
"Signal transduction by L1"	"Signal transduction by L1"	21	21	20	0.952380952380952	0.167652859960552	85	102	13	0	0.0124704204734944	0.399456788264012
"Elastic fibre formation"	"Elastic fibre formation"	41	41	39	0.951219512195122	0.287968441814596	146	195	20	0	0.00199933718498557	0.074656370226675
"Chondroitin sulfate biosynthesis"	"Chondroitin sulfate biosynthesis"	20	20	19	0.95	0.175542406311637	89	106	26	0	0.0153704243277355	0.470442830069417
"Syndecan interactions"	"Syndecan interactions"	20	20	19	0.95	0.11439842209073	58	70	10	0	0.0153704243277355	0.470442830069417
"Stimuli-sensing channels"	"Stimuli-sensing channels"	98	98	93	0.948979591836735	0.585798816568047	297	609	51	0	1.54259666917955e-05	0.00073045283508304
"GABA synthesis, release, reuptake and degradation"	"GABA synthesis, release, reuptake and degradation"	19	19	18	0.947368421052632	0.122287968441815	62	72	11	0	0.0189442470826947	0.567857978354561
"Signaling by FGFR1 fusion mutants"	"Signaling by FGFR1 fusion mutants"	19	19	18	0.947368421052632	0.282051282051282	143	166	85	0	0.0189442470826947	0.567857978354561
"Transport of inorganic cations/anions and amino acids/oligopeptides"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	94	94	89	0.946808510638298	0.433925049309665	220	346	20	0	3.0520328540562e-05	0.00143480631752276
"Assembly of collagen fibrils and other multimeric structures"	"Assembly of collagen fibrils and other multimeric structures"	54	54	51	0.944444444444444	0.473372781065089	240	461	38	0	0.00113397458430575	0.0458827743753682
"Centrosome maturation"	"Centrosome maturation"	72	72	68	0.944444444444444	0.420118343195266	213	347	28	0	0.000259071831840707	0.0108174458575599
"Recruitment of mitotic centrosome proteins and complexes"	"Recruitment of mitotic centrosome proteins and complexes"	72	72	68	0.944444444444444	0.420118343195266	213	347	28	0	0.000259071831840707	0.0108174458575599
"Regulation of signaling by CBL"	"Regulation of signaling by CBL"	18	18	17	0.944444444444444	0.2465483234714	125	143	85	0	0.0233483168270285	0.681124395835137
"Tie2 Signaling"	"Tie2 Signaling"	18	18	17	0.944444444444444	0.272189349112426	138	162	85	0	0.0233483168270285	0.681124395835137
"cGMP effects"	"cGMP effects"	18	18	17	0.944444444444444	0.153846153846154	78	98	19	0	0.0233483168270285	0.681124395835137
"Acetylcholine Neurotransmitter Release Cycle"	"Acetylcholine Neurotransmitter Release Cycle"	17	17	16	0.941176470588235	0.183431952662722	93	109	20	0	0.0287753454711872	0.814005693695316
"RAF/MAP kinase cascade"	"RAF/MAP kinase cascade"	17	17	16	0.941176470588235	0.145956607495069	74	79	28	0	0.0287753454711872	0.814005693695316
"Integrin cell surface interactions"	"Integrin cell surface interactions"	66	66	62	0.939393939393939	0.429980276134122	218	347	18	0	0.000713992955058584	0.0293437543587736
"Amino acid and oligopeptide SLC transporters"	"Amino acid and oligopeptide SLC transporters"	49	49	46	0.938775510204082	0.185404339250493	94	129	7	0	0.00270399306690539	0.099827727193019
"Cell-extracellular matrix interactions"	"Cell-extracellular matrix interactions"	16	16	15	0.9375	0.108481262327416	55	64	18	0	0.0354627376214744	0.979850886591015
"Keratan sulfate/keratin metabolism"	"Keratan sulfate/keratin metabolism"	32	32	30	0.9375	0.149901380670611	76	89	11	0	0.0105501928485308	0.350846153636923
"Polo-like kinase mediated events"	"Polo-like kinase mediated events"	16	16	15	0.9375	0.118343195266272	60	65	32	0	0.0354627376214744	0.979850886591015
"SHC1 events in ERBB2 signaling"	"SHC1 events in ERBB2 signaling"	32	32	30	0.9375	0.266272189349112	135	173	28	0	0.0105501928485308	0.350846153636923
"STING mediated induction of host immune responses"	"STING mediated induction of host immune responses"	16	16	15	0.9375	0.122287968441815	62	70	23	0	0.0354627376214744	0.979850886591015
"Synthesis of very long-chain fatty acyl-CoAs"	"Synthesis of very long-chain fatty acyl-CoAs"	16	16	15	0.9375	0.0670611439842209	34	36	8	0	0.0354627376214744	0.979850886591015
"TRAF6 mediated induction of TAK1 complex"	"TRAF6 mediated induction of TAK1 complex"	16	16	15	0.9375	0.0927021696252465	47	56	16	0	0.0354627376214744	0.979850886591015
"Loss of Nlp from mitotic centrosomes"	"Loss of Nlp from mitotic centrosomes"	62	62	58	0.935483870967742	0.388560157790927	197	303	28	0	0.001386010355787	0.0555645430203023
"Loss of proteins required for interphase microtubule organization from the centrosome"	"Loss of proteins required for interphase microtubule organization from the centrosome"	62	62	58	0.935483870967742	0.388560157790927	197	303	28	0	0.001386010355787	0.0555645430203023
"Hexose transport"	"Hexose transport"	46	46	43	0.934782608695652	0.250493096646943	127	175	11	0	0.00451563818314316	0.161245247453345
"Ion channel transport"	"Ion channel transport"	167	167	156	0.934131736526946	0.700197238658777	355	971	51	0	1.33052050799165e-06	6.44030863951763e-05
"Association of licensing factors with the pre-replicative complex"	"Association of licensing factors with the pre-replicative complex"	15	15	14	0.933333333333333	0.0571992110453649	29	32	5	0	0.0437029465574676	1
"CREB phosphorylation through the activation of CaMKII"	"CREB phosphorylation through the activation of CaMKII"	15	15	14	0.933333333333333	0.159763313609467	81	101	28	0	0.0437029465574676	1
"Constitutive Signaling by NOTCH1 HD Domain Mutants"	"Constitutive Signaling by NOTCH1 HD Domain Mutants"	15	15	14	0.933333333333333	0.195266272189349	99	110	66	0	0.0437029465574676	1
"Depolymerisation of the Nuclear Lamina"	"Depolymerisation of the Nuclear Lamina"	15	15	14	0.933333333333333	0.0788954635108481	40	42	8	0	0.0437029465574676	1
"GRB2 events in ERBB2 signaling"	"GRB2 events in ERBB2 signaling"	30	30	28	0.933333333333333	0.260355029585799	132	159	28	0	0.0151498386349074	0.465873437131783
"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	30	30	28	0.933333333333333	0.218934911242604	111	148	15	0	0.0151498386349074	0.465873437131783
"Mitochondrial Fatty Acid Beta-Oxidation"	"Mitochondrial Fatty Acid Beta-Oxidation"	15	15	14	0.933333333333333	0.0631163708086785	32	36	8	0	0.0437029465574676	1
"Molecules associated with elastic fibres"	"Molecules associated with elastic fibres"	30	30	28	0.933333333333333	0.207100591715976	105	129	20	0	0.0151498386349074	0.465873437131783
"Regulation of innate immune responses to cytosolic DNA"	"Regulation of innate immune responses to cytosolic DNA"	15	15	14	0.933333333333333	0.0690335305719921	35	43	10	0	0.0437029465574676	1
"Signaling by FGFR1 mutants"	"Signaling by FGFR1 mutants"	30	30	28	0.933333333333333	0.305719921104536	155	183	85	0	0.0151498386349074	0.465873437131783
"Trafficking of AMPA receptors"	"Trafficking of AMPA receptors"	30	30	28	0.933333333333333	0.218934911242604	111	148	15	0	0.0151498386349074	0.465873437131783
"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	29	29	27	0.931034482758621	0.384615384615385	195	331	28	0	0.0181308761176726	0.548509199037669
