"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Adaptive Immune System"	"RPS27A UBA52 SRC AKT1 AKT1S1 AKT2 AKT3 BAD CASP9 CDKN1A CDKN1B CHUK GSK3B MDM2 TSC2 CREB1 FOXO1 FOXO3 FOXO4 NR4A1 RPS6KB2 CUL1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 CDC16 CDC20 CDC23 CDC26 CDC27 UBE2C UBE2D1 UBE2E1 FZR1 SKP2 HRAS KRAS NRAS RAF1 RAP1A YWHAB CALR HSPA5 ITCH BTK CD36 IKBKB IKBKG MAP3K7 NFKBIA NFKBIB RELA RIPK2 SOCS1 TRAF6 UBE2D2 UBE2V1 FGF1 FGF10 FGF16 FGF17 FGF18 FGF2 FGF20 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF9 FGFR2 YWHAZ DYNLL1 DYNLL2 C3 CALM1 CTSK BCL10 CARD11 FBXW11 MALT1 NFKBIE PRKCB REL PDPK1 PRKACA PRKACB PRKACG THEM4 TRIB3 RASGRP3 NCK1 PAK1 PAK2 PAK3 RAC1 SOS1 KIF3A ACTR1B AGO1 AGO2 AGO3 AGO4 AMICA1 ANAPC13 AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 AP2A1 AP2A2 AP2M1 ARF1 ARIH2 ASB1 ASB10 ASB11 ASB12 ASB13 ASB14 ASB15 ASB16 ASB17 ASB18 ASB2 ASB3 ASB4 ASB5 ASB6 ASB7 ASB8 ASB9 ATG7 B2M BLK BTC BTLA CANX CBL CBLB CD160 CD19 CD200 CD200R1 CD207 CD226 CD247 CD274 CD28 CD34 CD3D CD3E CD3G CD4 CD40 CD40LG CD74 CD79B CD80 CD81 CD86 CD8A CD8B CD96 CDC34 CDH1 CLTA CLTC CRTAM CTLA4 CTSA CTSB CTSC CTSD CTSE CTSF CTSH CTSO CTSS CUL2 CUL3 CUL5 CUL7 CXADR CYBA CYBB DCTN1 DCTN2 DCTN3 DCTN4 DCTN5 DCTN6 DET1 DNM1 DNM2 DNM3 DTX3L DYNC1H1 DYNC1I1 DYNC1I2 DYNC1LI2 DYNC2H1 DYNC2LI1 DZIP3 EGFR ENAH ERAP1 ERAP2 ERBB2 ERBB3 ERBB4 EREG EVL FBXO17 FBXO2 FBXO27 FBXO3 FBXO4 FBXO44 FBXO6 FBXW7 FBXW8 FCGR1A FCGR1B FCGR2B FCGR3A FGF19 FGFR1 FGFR3 FGFR4 FRS2 FYB FYN GAB1 GAN GLYCAM1 GRB2 HBEGF HCST HECTD3 HERC2 HLA-A HLA-B HLA-C HLA-DMA HLA-DMB HLA-DOA HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DQA1 HLA-DQA2 HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-DRB5 HLA-E HLA-F HLA-G HUWE1 ICAM1 ICAM2 ICAM3 ICAM4 ICOS ICOSLG IFI30 IFITM1 INPP5D IRS1 IRS2 ITGA4 ITGAL ITGAV ITGB1 ITGB2 ITGB5 ITGB7 ITK ITPR1 ITPR2 ITPR3 KEAP1 KIF15 KIF18A KIF20A KIF22 KIF26A KIF2A KIF2B KIF2C KIF3B KIF3C KIF4A KIF4B KIF5A KIF5B KIF5C KIFAP3 KIR2DL1 KIR2DL3 KIR2DL4 KIR3DL1 KIR3DL2 KIT KITLG KL KLC1 KLC2 KLC3 KLC4 KLHL13 KLHL20 KLHL21 KLHL9 KLRC1 KLRD1 KLRG1 KLRK1 LAT LCK LCP2 LGMN LILRA1 LILRB1 LILRB2 LILRB3 LILRB4 LILRB5 LNPEP LRR1 LRRC41 LRSAM1 LYN MADCAM1 MAP3K14 MAP3K8 MAPKAP1 MGRN1 MICA MICB MIR26A1 MIR26A2 MKRN1 MLST8 MOV10 MRC2 MTOR NCF1 NCF2 NCF4 NEDD4L NPEPPS NRG1 NRG2 OSBPL1A PAG1 PARK2 PDCD1 PDCD1LG2 PDGFA PDGFRA PDGFRB PHLPP1 PHLPP2 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R2 PIK3R3 PJA1 PJA2 PLCG1 PLCG2 PRKG1 PTEN PTPN6 PTPRC PVR PVRL2 RAB7A RACGAP1 RAET1E RAP1B RAPGEF3 RAPGEF4 RASGRP2 RBCK1 RCHY1 RICTOR RNF123 RNF138 RNF144B RNF182 RNF19B RNF220 RNF25 RNF4 RNF41 RNF6 SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A SEC61A1 SEC61A2 SEC61B SEC61G SELL SH3GL2 SH3KBP1 SHC1 SIPA1 SMURF1 SMURF2 SOCS3 SPSB1 SPSB2 SPSB4 SPTBN2 STIM1 STUB1 SYK TAP1 TAP2 TAPBP TCEB1 TCEB2 TNFRSF14 TNRC6A TNRC6C TPP2 TRAT1 TRIM11 TRIM21 TRIM32 TRIM36 TRIM37 TRIM9 TRIP12 TRPC1 TYROBP UBA1 UBA3 UBA5 UBA6 UBA7 UBE2A UBE2B UBE2D4 UBE2E2 UBE2E3 UBE2F UBE2G2 UBE2H UBE2J1 UBE2J2 UBE2L3 UBE2L6 UBE2M UBE2O UBE2Q1 UBE2R2 UBE2S UBE2U UBE2V2 UBE2W UBE2Z UBE3A UBE3B UBE3C UBE4A UBOX5 UBR2 ULBP1 ULBP3 VAV1 VCAM1 VHL VPRBP WAS WSB1 WWP1 YES1 ZAP70 ZBTB16 CR2"
"Adenosine P1 receptors"	"ADORA2A ADORA1 ADORA2B ADORA3"
"Adenylate cyclase activating pathway"	"ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL"
"Adenylate cyclase inhibitory pathway"	"GNAI1 GNAI2 GNAI3 GNAT3 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 GNAL"
"Adherens junctions interactions"	"CTNNB1 CDH1 PVR PVRL2 CADM1 CADM2 CADM3 CDH10 CDH11 CDH12 CDH13 CDH15 CDH17 CDH18 CDH2 CDH24 CDH3 CDH5 CDH6 CDH7 CDH8 CDH9 CTNNA1 CTNND1 JUP MLLT4 PVRL1 PVRL3 PVRL4"
"Adrenaline signalling through Alpha-2 adrenergic receptor"	"ADRA2A ADRA2B ADRA2C"
"Adrenaline,noradrenaline inhibits insulin secretion"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 GNAI1 GNAI2 ADCY5 ADCY6 ADRA2A ADRA2C CACNA1C CACNA1D CACNA2D2 CACNB2 CACNB3"
"Adrenoceptors"	"ADRA2A ADRA2B ADRA2C ADRA1A ADRA1B ADRA1D ADRB1 ADRB2 ADRB3"
"Advanced glycosylation endproduct receptor signaling"	"MAPK1 MAPK3 AGER HMGB1 S100A12 S100B SAA1 CAPZA1 CAPZA2 LGALS3 PRKCSH"
"Aflatoxin activation and detoxification"	"ACY1 ACY3 CYP2A13 CYP3A4 CYP3A5 DPEP1 DPEP2 DPEP3 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3"
"Agmatine biosynthesis"	"AGMAT"
"Alpha-defensins"	"PRSS2 CD4 ART1 DEFA1 DEFA3 DEFA4 DEFA5 DEFA6 PRSS3"
"Alpha-oxidation of phytanate"	"HACL1 PHYH SLC25A17"
"Alternative complement activation"	"C3 CFB CFD GZMM"
"Amine Oxidase reactions"	"MAOA MAOB PAOX SMOX"
"Amine compound SLC transporters"	"SLC22A1 SLC22A2 SLC5A7 RHAG RHBG RHCG SLC14A1 SLC14A2 SLC18A1 SLC18A2 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SLC6A1 SLC6A11 SLC6A12 SLC6A13 SLC6A14 SLC6A18 SLC6A19 SLC6A2 SLC6A20 SLC6A3 SLC6A5 SLC6A6 SLC6A7 SLC6A9"
"Amine ligand-binding receptors"	"CHRM3 ADRA2A ADRA2B ADRA2C ADRA1A ADRA1B ADRA1D ADRB1 ADRB2 ADRB3 CHRM1 CHRM2 CHRM4 CHRM5 DRD1 DRD2 DRD3 DRD4 DRD5 HRH1 HRH2 HRH4 HTR1A HTR1B HTR1E HTR1F HTR2A HTR2B HTR2C HTR4 HTR5A TAAR1 TAAR2 TAAR3 TAAR5 TAAR6 TAAR8 TAAR9"
"Amine-derived hormones"	"AANAT ASMT CGA DBH DDC DIO1 DIO2 DIO3 IYD PNMT SLC5A5 TH TPH1 TPH2 TSHB"
"Amino Acid conjugation"	"ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2"
"Amino acid and oligopeptide SLC transporters"	"SLC6A12 SLC6A14 SLC6A18 SLC6A19 SLC6A20 SLC6A6 SLC5A5 SLC15A1 SLC15A2 SLC15A3 SLC16A10 SLC17A1 SLC17A5 SLC17A6 SLC17A7 SLC17A8 SLC1A1 SLC1A2 SLC1A3 SLC1A4 SLC1A6 SLC1A7 SLC25A10 SLC32A1 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A3 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC5A8 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9"
"Amino acid synthesis and interconversion (transamination)"	"ASNS CCBL1 GLS GLS2 GLUL GOT2 GPT GPT2 OAT PHGDH PSAT1 PSPH PYCR1"
"Amino acid transport across the plasma membrane"	"SLC6A12 SLC6A14 SLC6A18 SLC6A19 SLC6A20 SLC6A6 SLC16A10 SLC1A4 SLC36A1 SLC36A2 SLC38A1 SLC38A2 SLC38A3 SLC38A4 SLC38A5 SLC3A1 SLC3A2 SLC43A1 SLC7A1 SLC7A10 SLC7A11 SLC7A2 SLC7A3 SLC7A5 SLC7A6 SLC7A7 SLC7A8 SLC7A9"
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	"MAD2L1 MAD1L1"
"Amplification of signal from the kinetochores"	"MAD2L1 MAD1L1"
"Amyloids"	"APOA1 H2AFX SAA1 B2M APCS APOA4 CALCA CST3 FGA GSN H2AFB1 H3F3A HIST1H2AB HIST1H2AC HIST1H2AD HIST1H2AJ HIST1H2BA HIST1H2BB HIST1H2BC HIST1H2BD HIST1H2BH HIST1H2BJ HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN HIST1H2BO HIST1H3A HIST1H4A HIST2H2AA3 HIST2H2AC HIST2H2BE HIST2H3A HIST3H2BB IAPP INS ITM2B LTF LYZ MFGE8 NPPA ODAM PRL SEMG1 SNCA TGFBI TTR"
"Anchoring fibril formation"	"BMP1 COL7A1 LAMA3 LAMB3 LAMC2 TLL1"
"Anchoring of the basal body to the plasma membrane"	"PPP2R1A NEK2 CDK1 PLK1 YWHAG DYNLL1 AKAP9 PRKACA DCTN1 DCTN2 DCTN3 DYNC1H1 DYNC1I2 ALMS1 B9D1 C2CD3 CC2D2A CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP290 CEP41 CEP57 CEP63 CEP70 CEP72 CEP76 CEP78 CEP89 CEP97 CETN2 CKAP5 CLASP1 CNTRL CSNK1D FBF1 FGFR1OP HSP90AA1 IQCB1 KIF24 MAPRE1 MARK4 MKS1 NDE1 NINL NPHP1 NPHP4 ODF2 OFD1 PCM1 PCNT PLK4 PRKAR2B RAB3IP RAB8A RPGRIP1L SCLT1 SDCCAG8 SEPT2 SFI1 SSNA1 TCTN1 TCTN2 TMEM216 TMEM67 TUBA1A TUBA4A TUBB TUBB4A TUBB4B TUBG1"
"Androgen biosynthesis"	"CGA HSD17B12 HSD17B3 HSD3B1 HSD3B2 LHB POMC SRD5A1 SRD5A2 SRD5A3"
"Antagonism of Activin by Follistatin"	"FST FSTL3 INHBA INHBB"
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"CALR HSPA5 B2M CANX ERAP1 ERAP2 HLA-A HLA-B HLA-C HLA-E HLA-F HLA-G SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A TAP1 TAP2 TAPBP"
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	"BTK CALM1 NCK1 SOS1 BLK CBL CBLB CD19 CD79B FYN GRB2 ITPR1 ITPR2 ITPR3 LYN PIK3CD PIK3R1 PLCG1 PLCG2 SH3KBP1 SHC1 STIM1 SYK TRPC1 VAV1"
"Antigen processing-Cross presentation"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CALR CD36 B2M CD207 CTSS CYBA CYBB FCGR1A FCGR1B HLA-A HLA-B HLA-C HLA-E HLA-F HLA-G ITGAV ITGB5 LNPEP MRC2 NCF1 NCF2 NCF4 SEC61A1 SEC61A2 SEC61B SEC61G TAP1 TAP2 TAPBP"
"Antigen processing: Ubiquitination & Proteasome degradation"	"RPS27A UBA52 CUL1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC7 CDC16 CDC20 CDC23 CDC26 CDC27 UBE2C UBE2D1 UBE2E1 FZR1 SKP2 ITCH SOCS1 UBE2D2 UBE2V1 FBXW11 ANAPC13 ARIH2 ASB1 ASB10 ASB11 ASB12 ASB13 ASB14 ASB15 ASB16 ASB17 ASB18 ASB2 ASB3 ASB4 ASB5 ASB6 ASB7 ASB8 ASB9 ATG7 CBLB CDC34 CUL2 CUL3 CUL5 CUL7 DET1 DTX3L DZIP3 FBXO17 FBXO2 FBXO27 FBXO3 FBXO4 FBXO44 FBXO6 FBXW7 FBXW8 GAN HECTD3 HERC2 HUWE1 KEAP1 KLHL13 KLHL20 KLHL21 KLHL9 LNPEP LRR1 LRRC41 LRSAM1 MGRN1 MKRN1 NEDD4L NPEPPS PARK2 PJA1 PJA2 RBCK1 RCHY1 RNF123 RNF138 RNF144B RNF182 RNF19B RNF220 RNF25 RNF4 RNF41 RNF6 SMURF1 SMURF2 SOCS3 SPSB1 SPSB2 SPSB4 STUB1 TCEB1 TCEB2 TPP2 TRIM11 TRIM21 TRIM32 TRIM36 TRIM37 TRIM9 TRIP12 UBA1 UBA3 UBA5 UBA6 UBA7 UBE2A UBE2B UBE2D4 UBE2E2 UBE2E3 UBE2F UBE2G2 UBE2H UBE2J1 UBE2J2 UBE2L3 UBE2L6 UBE2M UBE2O UBE2Q1 UBE2R2 UBE2S UBE2U UBE2V2 UBE2W UBE2Z UBE3A UBE3B UBE3C UBE4A UBOX5 UBR2 VHL VPRBP WSB1 WWP1 ZBTB16"
"Antiviral mechanism by IFN-stimulated genes"	"EIF2AK2 EIF4A1 EIF4A2 EIF4G1 RPS27A UBA52 UBB UBC UBE2E1 JAK1 MAPK3 IRF3 KPNA1 KPNB1 PLCG1 UBA7 UBE2L6 AAAS DDX58 EIF4A3 EIF4E2 EIF4E3 EIF4G2 EIF4G3 FLNB HERC5 ISG15 KPNA2 KPNA3 KPNA4 KPNA5 KPNA7 MX1 MX2 NUP107 NUP133 NUP153 NUP155 NUP160 NUP188 NUP205 NUP210 NUP214 NUP35 NUP37 NUP43 NUP54 NUP62 NUP85 NUP93 NUP98 NUPL1 NUPL2 PIN1 POM121 PPM1B RAE1 RANBP2 SEH1L STAT1 TPR TRIM25 USP18"
"Apoptosis"	"RPS27A UBA52 AKT1 AKT2 AKT3 BAD CASP9 APC CTNNB1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC YWHAB BIRC2 CASP8 FADD HMGB1 MAPK8 RIPK1 BAK1 BID CLSPN BCL2 PPP3CC PPP3R1 YWHAG YWHAH YWHAZ BCL2L11 DYNLL1 DYNLL2 E2F1 PMAIP1 TFDP1 TP53 CASP3 DFFA DFFB HIST1H1A HIST1H1B HIST1H1C HIST1H1D HIST1H1E HMGB2 KPNA1 KPNB1 PAK2 CASP7 CYCS GZMB NMT1 BAX CDH1 GSN ACIN1 ADD1 ARHGAP10 BCAP31 BCL2L1 BMX CFLAR DBNL DNM1L DSG1 DSG2 DSG3 DSP FAS FASLG FNTA GAS2 LMNA LMNB1 MAPT OCLN PKP1 PLEC PRKCD PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2 TNFRSF10A TNFRSF10B TNFSF10 TRADD TRAF2 XIAP"
"Apoptosis induced DNA fragmentation"	"HMGB1 CASP3 DFFA DFFB HIST1H1A HIST1H1B HIST1H1C HIST1H1D HIST1H1E HMGB2 KPNA1 KPNB1"
"Apoptotic cleavage of cell adhesion  proteins"	"CTNNB1 CASP3 CDH1 DSG1 DSG2 DSG3 DSP OCLN PKP1 TJP1 TJP2"
"Apoptotic cleavage of cellular proteins"	"APC CTNNB1 BIRC2 CASP8 CLSPN CASP3 CASP7 CDH1 GSN ACIN1 ADD1 BCAP31 BMX DBNL DSG1 DSG2 DSG3 DSP FNTA GAS2 LMNA LMNB1 MAPT OCLN PKP1 PLEC PRKCD PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2"
"Apoptotic execution  phase"	"APC CTNNB1 BIRC2 CASP8 HMGB1 CLSPN CASP3 DFFA DFFB HIST1H1A HIST1H1B HIST1H1C HIST1H1D HIST1H1E HMGB2 KPNA1 KPNB1 PAK2 CASP7 CDH1 GSN ACIN1 ADD1 BCAP31 BMX DBNL DNM1L DSG1 DSG2 DSG3 DSP FNTA GAS2 LMNA LMNB1 MAPT OCLN PKP1 PLEC PRKCD PTK2 ROCK1 SATB1 SPTAN1 STK24 TJP1 TJP2"
"Apoptotic factor-mediated response"	"CASP9 CASP3 CASP7 CYCS XIAP"
"Aquaporin-mediated transport"	"GNB1 GNB2 GNB3 GNB4 GNB5 GNG10 GNG11 GNG12 GNG13 GNG2 GNG3 GNG4 GNG5 GNG7 GNGT1 GNGT2 ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY7 ADCY8 ADCY9 PRKACA PRKACB PRKACG PRKAR2B AQP1 AQP10 AQP11 AQP2 AQP3 AQP4 AQP5 AQP6 AQP7 AQP8 AVP AVPR2 MIP MYO5B PRKAR1A PRKAR1B PRKAR2A RAB11FIP2"
"Arachidonate production from DAG"	"MGLL DAGLA DAGLB"
"Arachidonic acid metabolism"	"ABCC1 PLA2G4A MAPKAPK2 DPEP1 DPEP2 DPEP3 GGT1 GGT5 AKR1C3 ALOX5 ALOX5AP CBR1 CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 EPHX2 FAM213B GPX1 GPX2 GPX4 HPGD HPGDS LTC4S PTGDS PTGES PTGES3 PTGIS PTGR1 PTGS1 PTGS2 TBXAS1"
"Asparagine N-linked glycosylation"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Assembly Of The HIV Virion"	"RPS27A UBA52 UBB UBC PPIA FURIN TSG101 VPS28 VPS37A VPS37B VPS37C VPS37D"
"Assembly of Viral Components at the Budding Site"	"CALR CANX XK PNP"
"Assembly of collagen fibrils and other multimeric structures"	"COL18A1 MMP13 MMP3 MMP7 MMP9 CTSB CTSS BMP1 COL7A1 LAMA3 LAMB3 LAMC2 TLL1 PLEC CD151 COL10A1 COL11A1 COL11A2 COL15A1 COL1A1 COL1A2 COL24A1 COL27A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL5A3 COL6A1 COL6A2 COL6A3 COL6A5 COL6A6 COL8A1 COL8A2 DST ITGA6 ITGB4 LOX LOXL2 LOXL3 MMP20 PCOLCE"
"Assembly of the ORC complex at the origin of replication"	"ORC1 ORC2 ORC3 ORC4 ORC5 ORC6"
"Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks"	"H2AFX NBN MRE11A RAD50"
"Assembly of the RAD51-ssDNA nucleoprotein complex"	"RPA3 RAD52"
"Assembly of the pre-replicative complex"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC CDC6 MCM2 MCM3 MCM4 MCM5 MCM7 MCM8 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 E2F1 CDT1 E2F3 GMNN"
"Assembly of the primary cilium"	"PPP2R1A NEK2 CDK1 PLK1 ARL13B INPP5E PDE6D YWHAG DYNLL1 DYNLL2 AKAP9 PRKACA KIF3A SMO CNGB1 RHO DCTN1 DCTN2 DCTN3 DYNC1H1 DYNC1I2 DYNC2H1 DYNC2LI1 KIF3B KIF3C KIFAP3 ALMS1 B9D1 C2CD3 CC2D2A CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP290 CEP41 CEP57 CEP63 CEP70 CEP72 CEP76 CEP78 CEP89 CEP97 CETN2 CKAP5 CLASP1 CNTRL CSNK1D FBF1 FGFR1OP HSP90AA1 IQCB1 KIF24 MAPRE1 MARK4 MKS1 NDE1 NINL NPHP1 NPHP4 ODF2 OFD1 PCM1 PCNT PLK4 PRKAR2B RAB3IP RAB8A RPGRIP1L SCLT1 SDCCAG8 SEPT2 SFI1 SSNA1 TCTN1 TCTN2 TMEM216 TMEM67 TUBA1A TUBA4A TUBB TUBB4A TUBB4B TUBG1 ARF4 ARL6 ASAP1 ATAT1 BBIP1 BBS1 BBS12 BBS2 BBS5 BBS7 BBS9 CCT2 CCT3 CCT4 CCT5 CLUAP1 CNGA2 CNGA4 CYS1 DYNLRB1 DYNLRB2 EXOC1 EXOC2 EXOC3 EXOC4 EXOC5 EXOC7 EXOC8 HDAC6 HSPB11 IFT122 IFT140 IFT172 IFT20 IFT27 IFT43 IFT46 IFT52 IFT57 IFT74 IFT80 IFT81 IFT88 LZTFL1 MCHR1 MKKS NPHP3 PKD1 PKD2 RAB11FIP3 RP2 TCP1 TCTE3 TCTEX1D1 TCTEX1D2 TNPO1 TRAF3IP1 TRIP11 TTC21B TTC26 TTC30A TTC30B TTC8 WDR19 WDR34 WDR35 WDR60"
"Association of TriC/CCT with target proteins during biosynthesis"	"FBXO4 FBXO6 FBXW7 CCT2 CCT3 CCT4 CCT5 TCP1 AP3M1 ARFGEF2 CCT6A CCT7 FBXL3 FBXL5 FBXW10 FBXW2 FBXW5 FBXW9 FKBP9 KIF13A KIFC3 LONP2 NOP56 SKIV2L SPHK1 USP11 XRN2"
"Association of licensing factors with the pre-replicative complex"	"RPS27A UBA52 UBB UBC CDC6 ORC1 ORC2 ORC3 ORC4 ORC5 E2F1 CDT1 E2F3 GMNN"
"Astrocytic Glutamate-Glutamine Uptake And Metabolism"	"SLC1A2 SLC1A3 SLC38A1 GLUL"
"Asymmetric localization of PCP proteins"	"RPS27A UBA52 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 UBB UBC SMURF1 SMURF2 FZD1 FZD2 FZD3 FZD4 FZD5 FZD7 FZD8 PARD6A PRICKLE1 SCRIB VANGL2 WNT5A"
"Attachment of GPI anchor to uPAR"	"GPAA1 PGAP1 PIGK PIGS PIGT PIGU"
"Attenuation phase"	"UBB HSPA1A HSPA8 CREBBP HSP90AA1 PTGES3 COL4A6 CRYBA4 DNAJB1 DNAJB6 FKBP4 GML HSBP1 HSF1 HSP90AB1 HSPA1B HSPA1L HSPA2 HSPA6 HSPH1 MRPL18 RLN1 SERPINH1 TNFRSF21"
