"V1"
"2-LTR circle formation"	"XRCC4"
"HIV elongation arrest and recovery"	"GTF2F1 NELFB POLR2A POLR2B CCNT1 ELL SUPT16H"
"HS-GAG biosynthesis"	"GPC3 GPC4 GPC5 SDC3 HS2ST1 HS6ST1 SLC35D2"
"HS-GAG degradation"	"GPC3 GPC4 GPC5 SDC3"
"HSF1 activation"	"CRYBA4 HSP90AB1 HSPA6 EEF1A1"
"HSF1-dependent transactivation"	"CAMK2A CAMK2B CREBBP MTOR CRYBA4 EP300 HSP90AB1 HSPA2 HSPA6"
"Hedgehog 'off' state"	"RPS27A CUL1 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 ITCH ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB PTCH1 GNAS PRKAR1A IFT122 IFT140 IFT172 TTC21B WDR19 GLI1 SUFU GLI3 ADCY10 INTU KIF7"
"Hedgehog 'on' state"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 ITCH BOC EVC EVC2 PTCH1 PTCH2 GLI1 SUFU GLI3 KIF7"
"Hedgehog ligand biogenesis"	"RPS27A GPC5 PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 P4HB OS9 SCUBE2"
"Heme biosynthesis"	"FECH UROD UROS"
"Hemostasis"	"GNA15 GNB2 GNB3 GNG8 PLA2G4A AKT1 PPP2R1B JAK2 MAPK1 HSPA5 PRKCA APP TP53 CALM1 MMP1 PLG ACTN2 PRKACA PRKACB RAC1 SOS1 CREBBP CENPE EGF FYN INPP5D ITGA4 ITGAL ITPR2 ITPR3 KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C LAT PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ PRKG1 RAPGEF3 SYK ADRA2C CAPZA1 SLC3A2 SLC7A5 PTK2 GNAS PRKAR1A DAGLA EP300 DOCK1 ITGA1 ITGA2 ITGA5 ITGB3 RHOA TLN1 TRPC6 VAV2 MAG ATP1B3 PPIL2 ALB APOB KCNMB3 KCNMB4 ACTN1 ANGPT4 CD44 CD47 CEACAM1 CEACAM6 DOK2 FN1 GAS6 PROS1 SELP HMG20B PHF21A F2RL3 KNG1 F13B F5 FGG SERPINC1 SERPINE2 HGF IFNA21 IFNA8 IL2RB IL3RA IRF1 IRF2 GATA6 DOCK2 NOS1 PRKCZ HRG SERPINB2 BCAR1 DGKE DGKG P2RX1 DOCK3 DOCK7 DOCK8 HBE1 LRRC16A MFN1 MFN2 MYB VWF PDE10A PDE11A PDE3A PIK3R6 APBB1IP IGF2 ATP2B1 ATP2B2 GUCY1A3 MMRN1 MPL PDE9A SLC8A1 SLC8A2 TF TTN WDR1"
"Heparan sulfate/heparin (HS-GAG) metabolism"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN HS2ST1 HS6ST1 SLC35D2"
"Hexose transport"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR GCK G6PC3 GCKR HK3 SLC5A2 SLC5A9"
"Hh ligand biogenesis disease"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 OS9"
"Highly calcium permeable nicotinic acetylcholine receptors"	"CHRNA3 CHRNA4 CHRNB3"
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	"CHRNA3 CHRNA4 CHRNB3"
"Highly sodium permeable acetylcholine nicotinic receptors"	"CHRNA3 CHRNA4 CHRND"
"Histidine catabolism"	"HAL"
"Homologous DNA pairing and strand exchange"	"BRCA2 BRIP1"
"Homologous Recombination Repair"	"BRCA1 RAD50 BRCA2 BRIP1 TP53BP1"
"Homologous recombination repair of replication-independent double-strand breaks"	"BRCA1 RAD50 BRCA2 BRIP1 TP53BP1"
"Hormone ligand-binding receptors"	"LHCGR"
"Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis"	"PRKACA PRKACB LIPE"
"Host Interactions of HIV factors"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 KPNA1 PAK2 RAC1 AP1G1 AP2A2 B2M FYN HLA-A NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR CCNT1 DOCK2"
"HuR stabilizes mRNA"	"PRKCA"
"Hyaluronan biosynthesis and export"	"HAS1 HAS3"
"Hyaluronan metabolism"	"STAB2 HEXA CD44 CHP1 HAS1 HAS3"
"Hyaluronan uptake and degradation"	"STAB2 HEXA CD44 CHP1"
"Hydrolysis of LPC"	"PLA2G4A PLA2G4D PLA2G4E"
"Hydroxycarboxylic acid-binding receptors"	"HCAR3"
"IGF1R signaling cascade"	"EIF4G1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 PRKAG3 SOS1 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 IGF2 IRS4 SHC3 TLR9"
"IKK complex recruitment mediated by RIP1"	"RPS27A RIPK1 TLR4"
"IRAK1 recruits IKK complex"	"IRAK1"
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation"	"IRAK1"
"IRAK2 mediated activation of TAK1 complex"	"RPS27A IRAK2 MAP3K7 TAB1 TAB3"
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation"	"RPS27A IRAK2 MAP3K7 TAB1 TAB3"
"IRE1alpha activates chaperones"	"HSPA5 EDEM1 TLN1 ACADVL ARFGAP1 CTDSP2 CXXC1 DDX11 HDGF PDIA5"
"IRF3 mediated activation of type 1 IFN"	"DTX4 NLRP4 ZBP1"
"IRF3-mediated induction of type I IFN"	"DTX4 IFI16 NLRP4 PRKDC ZBP1"
"IRS activation"	"IRS2"
"IRS-mediated signalling"	"EIF4G1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 PRKAG3 SOS1 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 TLR9"
"IRS-related events"	"EIF4G1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 PRKAG3 SOS1 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 TLR9"
"IRS-related events triggered by IGF1R"	"EIF4G1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 PRKAG3 SOS1 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 IGF2 IRS4 TLR9"
"ISG15 antiviral mechanism"	"EIF4G1 RPS27A KPNA1 NEDD4 EIF4E2 EIF4G2 EIF4G3 KPNA2 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR"
"Immune System"	"EIF4G1 RPS27A AKT1 RPS6KB2 CUL1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 RBX1 CDC20 CDC27 SKP2 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 HSP90B1 HSPA5 PRKCA DTX4 ITCH APP BTK DHX9 DUSP6 DUSP7 ECSIT FADD FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RIPK1 RPS6KA5 TAB1 TAB3 TLR1 TLR4 TRAF3 FGF17 FGF22 C4B C5 CALM1 KPNA1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 CARD11 CAMK2A CAMK2B PRKACA PRKACB MAPK12 RASGRP3 NCK1 PAK2 RAC1 SOS1 CREBBP AGO1 AGO3 AGO4 AP1G1 AP2A2 ASB17 ASB6 B2M CD226 CD80 CENPE CLTA CYBB DCTN4 DCTN6 DNM2 DYNC1H1 EGF EGFR ERBB2 ERBB3 ERBB4 FBXO17 FBXO44 FBXW7 FCGR1A FCGR3A FGF19 FGFR3 FGFR4 FYN GAB1 GAN HECTD3 HERC2 HLA-A HLA-B HUWE1 ICAM1 ICOS INPP5D IRS2 ITGA4 ITGAL ITPR2 ITPR3 KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C LAT LILRB5 LNPEP LRSAM1 MAP3K14 MAP3K8 MTOR NCF2 NEDD4 NPEPPS PAG1 PDGFRA PHLPP1 PIK3AP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PJA2 PRKCQ PRKG1 PTEN PVR PVRL2 RAPGEF3 RICTOR RNF111 SEC24B SEC24C SH3KBP1 SYK TAP1 TNRC6B TNRC6C TPP2 TRIM21 TRIP12 TRPC1 UBA3 UBA5 UBE2Q1 UBE3A UBE3C UBE4A UBOX5 UBR4 VCAM1 ZBTB16 CAPZA1 DDOST LGALS3 EIF4E2 EIF4G2 EIF4G3 KPNA2 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR PTK2 PRKAR1A EP300 HSP90AB1 ACTB DOCK1 LIMK1 MYH9 VAV2 WASL DEFB114 DEFB126 PDE1C NFATC1 CD44 PROS1 MAPK13 STAT3 C1S C4BPA C6 C7 CD46 CISH EGR1 GBP2 GBP3 GBP5 HGF IFNA21 IFNA8 IFNGR1 IFNGR2 IL1R1 IL1RAP IL2RB IL3RA INPPL1 IRF1 IRF2 IRF4 IRF8 OAS3 PTPN2 RNASEL STAT2 STAT5A TEC TNIP2 TRIM14 TRIM38 TRIM62 TRIM68 XAF1 IFI16 NLRP4 POLR3A POLR3F POLR3GL PRKDC TRIM56 ZBP1 NFATC3 TXK FCGR2A ABI1 ELMO2 MYH2 MYO1C MYO5A NCKAP1 PLD1 WASF2 WIPF1 PCBP2 TLR9 CD180 CYLD DHX58 EEA1 LBP MEFV NLRC5 NLRP1 NLRX1 TAX1BP1 TNFAIP3 TXNIP"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"B2M CD226 FCGR3A HLA-A HLA-B ICAM1 ITGA4 ITGAL LILRB5 PVR PVRL2 VCAM1"
"Import of palmitoyl-CoA into the mitochondrial matrix"	"ACACB CPT2"
"Inactivation of APC/C via direct inhibition of the APC/C complex"	"BUB1B CDC20 CDC27"
"Inactivation of Cdc42 and Rac"	"RAC1 ROBO1 SLIT2"
"Inactivation, recovery and regulation of the phototransduction cascade"	"PRKCA CALM1 PDE6A RHO PRKCQ GUCY2F METAP2 PPEF1 RGS9"
"Incretin synthesis, secretion, and inactivation"	"GNB3"
"Inflammasomes"	"APP HSP90AB1 MEFV NLRP1 TXNIP"
"Influenza Infection"	"RPL3L RPL4 RPS13 RPS27A GTF2F1 POLR2A POLR2B KPNA1 CLTA NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR BLOC1S6"
"Influenza Life Cycle"	"RPL3L RPL4 RPS13 RPS27A GTF2F1 POLR2A POLR2B KPNA1 CLTA NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR BLOC1S6"
"Influenza Viral RNA Transcription and Replication"	"RPL3L RPL4 RPS13 RPS27A GTF2F1 POLR2A POLR2B NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR BLOC1S6"
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"	"GNB2 GNB3 GNG8 KCNJ16 KCNJ3"
"Inhibition of Signaling by Overexpressed EGFR"	"EGF EGFR"
"Inhibition of TSC complex formation by PKB"	"TSC1"
"Inhibition of adenylate cyclase pathway"	"ADCY1 ADCY2 ADCY3 ADCY8 ADCY9"
"Inhibition of replication initiation of damaged DNA by RB1/E2F1"	"PPP2R1B TFDP1 PPP2R3B RB1"
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components"	"BUB1B CDC20 CDC27"
"Initial triggering of complement"	"C4B C1S"
"Initiation of Nuclear Envelope Reformation"	"ANKLE2"
"Innate Immune System"	"RPS27A AKT1 RPS6KB2 PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 HSP90B1 PRKCA DTX4 ITCH APP BTK DHX9 DUSP6 DUSP7 ECSIT FADD FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RIPK1 RPS6KA5 TAB1 TAB3 TLR1 TLR4 TRAF3 FGF17 FGF22 C4B C5 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 CARD11 PRKACA PRKACB MAPK12 NCK1 PAK2 RAC1 SOS1 CREBBP AGO1 AGO3 AGO4 B2M CD80 DNM2 EGF EGFR ERBB2 ERBB3 ERBB4 FCGR1A FCGR3A FGF19 FGFR3 FGFR4 FYN GAB1 HLA-B IRS2 ITPR2 ITPR3 LAT MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PRKCQ PTEN RICTOR SYK TNRC6B TNRC6C TRIM21 CAPZA1 DDOST LGALS3 PTK2 PRKAR1A EP300 HSP90AB1 ACTB DOCK1 LIMK1 MYH9 VAV2 WASL DEFB114 DEFB126 PDE1C NFATC1 PROS1 MAPK13 C1S C4BPA C6 C7 CD46 IFNA21 IFNA8 IRF1 IRF2 TEC IFI16 NLRP4 POLR3A POLR3F POLR3GL PRKDC TRIM56 ZBP1 NFATC3 TXK FCGR2A ABI1 ELMO2 MYH2 MYO1C MYO5A NCKAP1 PLD1 WASF2 WIPF1 PCBP2 TLR9 CD180 CYLD DHX58 EEA1 LBP MEFV NLRC5 NLRP1 NLRX1 TAX1BP1 TNFAIP3 TXNIP"
"Inositol phosphate metabolism"	"PLCB1 PLCB2 CALM1 INPP5D PTEN INPPL1 PLCB4 INPP1 INPP4B INPP5A INPP5B IP6K3 ISYNA1 PLCE1 PLCH1 PLCH2 PPIP5K2"
"Inositol transporters"	"SLC5A2 SLC5A9"
"Insulin processing"	"STX1A KIF5C EXOC1 MYO5A ERO1LB PCSK2 SLC30A8"
"Insulin receptor recycling"	"ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3"
"Insulin receptor signalling cascade"	"EIF4G1 IL6 JAK2 MAP2K1 MAP2K2 MAPK1 FGF17 FGF22 PRKAG3 SOS1 FGF19 FGFR3 FGFR4 GAB1 IRS2 MTOR PIK3CA PIK3CB PIK3R1 PRKAA1 TSC1 SHC3 TLR9"
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA"	"ACTB CD44 IGF2"
"Integration of energy metabolism"	"GNA15 GNB2 GNB3 GNG8 PPP2R1B SNAP25 STX1A PLCB1 PLCB2 PRKCA ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ACACB FASN ITPR2 ITPR3 RAPGEF3 ADRA2C CACNA1C CACNB3 GNAS PRKAR1A IQGAP1 ACLY CACNA1E PFKFB1 KCNB1 KCNC2 KCNS3"
"Integration of provirus"	"XRCC4 KPNA1"
"Integrin alphaIIb beta3 signaling"	"AKT1 SOS1 RAPGEF3 SYK PTK2 ITGB3 TLN1 FN1 FGG BCAR1 VWF APBB1IP"
"Integrin cell surface interactions"	"ICAM1 ITGA4 ITGAL VCAM1 COL4A1 COL4A3 COL4A4 ITGA1 ITGA2 ITGA5 ITGB3 CD44 CD47 FN1 COL13A1 COL16A1 FGG LUM DAG1 ITGA7 ITGA8 ITGB6 FBN1 ITGAE"
"Interaction With The Zona Pellucida"	"ADAM2 ADAM20 ADAM21 ZP2"
"Interaction between L1 and Ankyrins"	"SPTAN1 ANK2 ANK3 NFASC NRCAM SCN10A SCN1A SCN2A SCN3A SCN4A SCN5A SCN7A SCN8A SCN9A SPTB SPTBN1 SPTBN4"
"Interactions of Rev with host cellular proteins"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR"
"Interactions of Tat with host cellular proteins"	"CCNT1"
"Interactions of Vpr with host cellular proteins"	"KPNA1 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR"
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate"	"L2HGDH"
"Interconversion of polyamines"	"SAT1"
"Interferon Signaling"	"EIF4G1 RPS27A JAK2 KPNA1 CAMK2A CAMK2B B2M FCGR1A HLA-A HLA-B ICAM1 NEDD4 TRIM21 VCAM1 EIF4E2 EIF4G2 EIF4G3 KPNA2 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 STAT1 TPR CD44 EGR1 GBP2 GBP3 GBP5 IFNA21 IFNA8 IFNGR1 IFNGR2 IRF1 IRF2 IRF4 IRF8 OAS3 PTPN2 RNASEL STAT2 TRIM14 TRIM38 TRIM62 TRIM68 XAF1"
"Interferon alpha/beta signaling"	"HLA-A HLA-B STAT1 EGR1 GBP2 IFNA21 IFNA8 IRF1 IRF2 IRF4 IRF8 OAS3 RNASEL STAT2 XAF1"
"Interferon gamma signaling"	"JAK2 CAMK2A CAMK2B B2M FCGR1A HLA-A HLA-B ICAM1 TRIM21 VCAM1 STAT1 CD44 GBP2 GBP3 GBP5 IFNGR1 IFNGR2 IRF1 IRF2 IRF4 IRF8 OAS3 PTPN2 TRIM14 TRIM38 TRIM62 TRIM68"
"Interleukin receptor SHC signaling"	"JAK2 SOS1 INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 IL2RB IL3RA INPPL1"
"Interleukin-1 signaling"	"CUL1 RBX1 MAP2K1 IRAK1 IRAK2 MAP2K4 MAP3K7 TAB1 TAB3 MAP3K8 IL1R1 IL1RAP TNIP2"
"Interleukin-2 signaling"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 SOS1 INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 SYK IL2RB IL3RA INPPL1 STAT5A"
"Interleukin-3, 5 and GM-CSF signaling"	"JAK2 PRKACA SOS1 FYN INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 SYK IL2RB IL3RA INPPL1 STAT5A TEC"
"Interleukin-6 signaling"	"IL6 JAK2 STAT1 STAT3"
"Interleukin-7 signaling"	"PIK3R1 PIK3R3 HGF STAT5A"
"Intraflagellar transport"	"KIF3B IFT122 IFT140 IFT172 TNPO1 TRIP11 TTC21B WDR19"
"Intrinsic Pathway"	"KNG1 SERPINC1 SERPINE2 VWF"
"Intrinsic Pathway for Apoptosis"	"AKT1 BID SFN TFDP1 TP53 APAF1"
"Inwardly rectifying K+ channels"	"ABCC9 GNB2 GNB3 GNG8 KCNJ16 KCNJ3"
"Ion channel transport"	"RPS27A TRPC1 TRPC5 TRPC6 ATP1B3 GABRA1 GABRA2 GABRA3 GABRA5 GABRB1 ATP2B1 ATP2B2 ANO1 ANO2 ANO4 ANO5 ANO7 ASIC4 ATP10B ATP11C ATP1A2 ATP1A4 ATP7B ATP8A1 ATP8A2 ATP8B3 BEST4 CLCA1 CLCN1 CLCNKB GLRA3 NALCN RYR1 RYR2 RYR3 SLC9C2 TPCN2 TRDN TRPM1 TRPM2 TRPM4 TRPM5 TRPM6 TRPV4 TRPV5 TRPV6 UNC79 WNK2 WNK3 WNK4"
"Ion transport by P-type ATPases"	"ATP1B3 ATP2B1 ATP2B2 ATP10B ATP11C ATP1A2 ATP1A4 ATP7B ATP8A1 ATP8A2 ATP8B3"
"Ionotropic activity of Kainate Receptors"	"CALM1 DLG1 GRIK3 GRIK4 GRIK5 NCALD"
"Iron uptake and transport"	"ABCG2 ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3 TF CP LCN2 STEAP2"
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1"	"IRAK1 IRAK2 MAP2K4 MAP3K7 TAB1 TAB3"
"KSRP destabilizes mRNA"	"AKT1 DCP2 EXOSC5 PARN"
"Keratan sulfate biosynthesis"	"ST3GAL3 ACAN B3GNT3 CHST5 LUM SLC35D2"
"Keratan sulfate degradation"	"HEXA ACAN LUM"
"Keratan sulfate/keratin metabolism"	"ST3GAL3 HEXA ACAN B3GNT3 CHST5 LUM SLC35D2"
"Kinesins"	"CENPE KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C"
"Klotho-mediated ligand binding"	"FGF19 FGFR4"
"L13a-mediated translational silencing of Ceruloplasmin expression"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A"
"L1CAM interactions"	"MAP2K1 MAP2K2 MAPK1 CNTN1 RPS6KA5 DLG1 RPS6KA6 RAC1 AP2A2 CLTA DNM2 EGFR KIF4A KIF4B SPTAN1 ANK2 ANK3 CNTN2 CNTN6 CSNK2A1 DCX ITGA1 ITGA2 ITGA5 ITGB3 KIAA1598 LAMA1 LAMC1 NFASC NRCAM SCN10A SCN1A SCN2A SCN3A SCN4A SCN5A SCN7A SCN8A SCN9A SPTB SPTBN1 SPTBN4 VAV2"
"LDL-mediated lipid transport"	"APOB LDLR"
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production"	"CREBBP EP300"
"Lagging Strand Synthesis"	"FEN1 POLD1 POLD3"
"Laminin interactions"	"LAMA3 LAMC2 ITGB4 ITGA1 ITGA2 LAMA1 LAMC1 NID1 ITGA7 LAMA2 LAMA4 LAMB2 LAMC3 NID2"
"Late Phase of HIV Life Cycle"	"RPS27A GTF2F1 NELFB POLR2A POLR2B FURIN NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR GTF2H1 CCNT1 ELL GTF2E1 SUPT16H TAF1 TAF1L TAF4 TAF5"
"Latent infection of Homo sapiens with Mycobacterium tuberculosis"	"CYBB NCF2 ATP6V0A2 ATP6V1B2 ATP6V1C2 ATP6V1G3 NOS1 MSRA"
"Leading Strand Synthesis"	"POLD1 POLD3"
"Leukotriene receptors"	"GPR17"
"Ligand-gated ion channel transport"	"GABRA1 GABRA2 GABRA3 GABRA5 GABRB1 GLRA3"
"Ligand-receptor interactions"	"BOC PTCH1"
"Linoleic acid (LA) metabolism"	"ACSL1"
"Lipid digestion, mobilization, and transport"	"ABCG1 ABCG8 PRKACA PRKACB ALB APOB P4HB LDLR CUBN ABCA1 LCAT LIPE"
"Lipoprotein metabolism"	"ABCG1 ALB APOB P4HB LDLR CUBN ABCA1 LCAT"
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions"	"ILK PXN"
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling"	"NOTCH1 CUL1 RBX1 FBXW7"
"Loss of Function of SMAD2/3 in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"Loss of Function of SMAD4 in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"Loss of Function of TGFBR1 in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"Loss of Function of TGFBR2 in Cancer"	"RPS27A TFDP1 FURIN RNF111 RHOA NCOR1 RBL1 PARD3 NCOR2 SMAD2 SMAD4 CCNT1 MTMR4 PRKCZ STRAP TGFBR2 USP9X WWTR1"
"Loss of Nlp from mitotic centrosomes"	"AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1"
"Loss of proteins required for interphase microtubule organization from the centrosome"	"AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1"
"Lysine catabolism"	"DLST AADAT ALDH7A1 GCDH"
"Lysosome Vesicle Biogenesis"	"AP1G1 CLTA DNM2 DNAJC6"
"Lysosphingolipid and LPA receptors"	"S1PR4"
"M Phase"	"RPS27A PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 MAPK1 PRKCA NEK9 CENPE KIF18A KIF23 KIF2C HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB CKAP5 CLASP1 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR CLASP2 CSNK2A1 AHCTF1 ANKLE2 CASC5 CDCA5 CENPI CENPO CLIP1 ESPL1 LPIN3 MASTL MAU2 MIS12 NCAPD2 NCAPH NCAPH2 NIPBL NSL1 RAB1A RAB2A RAD21 RB1 RCC2 SGOL2 SMC2 SMC3 SMC4 SPC24 SPDL1 WAPAL"
"M/G1 Transition"	"RPS27A PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 MCM2 MCM4 MCM7 ORC6 POLE"
"MAP kinase activation in TLR cascade"	"PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 DUSP6 DUSP7 FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 RPS6KA5 TAB1 TAB3"
"MAPK targets/ Nuclear events mediated by MAP kinases"	"PPP2R1B MAPK1 DUSP6 DUSP7 FOS MAPK7 RPS6KA5"
"MASTL Facilitates Mitotic Progression"	"PPP2R1B MASTL"
"MEK activation"	"MAP2K1 MAP2K2"
"MHC class II antigen presentation"	"AP1G1 AP2A2 CENPE CLTA DCTN4 DCTN6 DNM2 DYNC1H1 KIF11 KIF15 KIF18A KIF23 KIF2C KIF3B KIF4A KIF4B KIF5C SEC24B SEC24C"
"MPS I - Hurler syndrome"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS II - Hunter syndrome"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IIIA - Sanfilippo syndrome A"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IIIB - Sanfilippo syndrome B"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IIIC - Sanfilippo syndrome C"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
