"V1"
"2-LTR circle formation"	"PSIP1 XRCC4 XRCC6"
"Axon guidance"	"AGRN NCAN SDC2 APH1A HRAS IL6ST JAK1 JAK2 KRAS MAP2K1 HSPA8 CNTN1 NUMB RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5 DLG1 DLG3 GRIN2B RPS6KA6 NCK2 PAK3 PAK6 PAK7 RAC1 ROBO1 SLIT2 SOS1 SOS2 AP2A1 AP2B1 CDC42 DNM2 DNM3 EGFR FGFR1 FYN ITGAV ITGB1 KIF4A KIF4B LYN PLCG1 PRKCQ PTPRC SH3GL2 SPTBN2 TRPC1 VASP YES1 CACNA1C CACNA1D CACNB2 PTK2 ROCK1 SPTAN1 ST8SIA2 COL4A2 COL4A3 COL4A4 COL4A5 COL6A2 COL6A3 COL6A5 COL6A6 HSP90AB1 ABL2 ABLIM2 ABLIM3 ACTB ACTR2 ANK2 ANK3 ARHGAP35 ARHGAP39 ARHGEF11 ARHGEF12 CACNA1G CACNA1H CACNA1I CACNA1S CACNB1 CFL1 CHL1 CLTCL1 CNTN6 COL9A2 CRMP1 CSNK2A1 DCC DOCK1 DPYSL2 EFNA5 EFNB2 EPHA1 EPHA10 EPHA2 EPHA3 EPHA4 EPHA5 EPHA6 EPHA7 EPHB1 EPHB2 EPHB4 EPHB6 GFRA1 ITGA1 ITGA10 ITGA2 ITGA2B ITGA5 ITGA9 ITGB3 ITSN1 KALRN KCNQ2 KCNQ3 KDR LAMA1 LAMB1 LAMC1 LIMK1 MSN MYH10 MYH11 MYH9 MYO10 NFASC NGEF NRCAM NRP1 NRP2 PLXNA1 PLXNA2 PLXNA3 PLXNA4 PLXNB3 PLXNC1 PLXND1 PTPRA RASA1 RGMB RHOA RHOG ROBO2 ROCK2 RPS6KA4 SCN10A SCN11A SCN1A SCN2A SCN3A SCN4A SCN7A SCN8A SCN9A SEMA3A SEMA3E SEMA4A SEMA5A SEMA6A SEMA6D SEMA7A SIAH1 SPTA1 SPTB SPTBN1 SPTBN4 SPTBN5 SRGAP1 TIAM1 TLN1 TRIO TRPC3 TRPC4 TRPC7 UNC5A UNC5B UNC5C UNC5D"
"Axonal growth inhibition (RHOA activation)"	"RHOA ARHGEF1 LINGO1 RTN4"
"Axonal growth stimulation"	"RHOA"
"BBSome-mediated cargo-targeting to cilium"	"SMO RAB3IP BBS10 BBS12 BBS9 CCT5 SSTR3 TTC8"
"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"	"BID BCL2L11"
"BMAL1:CLOCK,NPAS2 activates circadian gene expression"	"CHD9 CREBBP HELZ2 MED1 NCOA1 NCOA2 NCOA6 RXRA TBL1X TGS1 EP300 BHLHE40 CCRN4L CLOCK DBP HDAC3 NAMPT NCOR1 NR3C1 PER1 PER2 SERPINE1"
"Base Excision Repair"	"LIG3 POLD3 SMUG1"
"Base-Excision Repair, AP Site Formation"	"SMUG1"
"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"SMUG1"
"Basigin interactions"	"ITGB1 SLC7A10 SLC7A11 SLC7A7 ITGA6 ATP1B1 ITGA3 SPN"
"Beta defensins"	"TLR1 CCR2 DEFB112 DEFB114 DEFB116 DEFB118 DEFB123 DEFB124 DEFB4A"
"Beta oxidation of butanoyl-CoA to acetyl-CoA"	"ACADS ECHS1"
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"	"ECHS1 ACADM"
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA"	"ACADS ECHS1"
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"	"ECHS1"
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA"	"ECHS1 ACADM"
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA"	"ACADVL"
"Beta-catenin phosphorylation cascade"	"AMER1 APC CSNK1A1 CTNNB1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C"
"Beta-oxidation of pristanoyl-CoA"	"ACOX2 HSD17B4"
"Beta-oxidation of very long chain fatty acids"	"ABCD1 HSD17B4"
"Bicarbonate transporters"	"SLC4A10 SLC4A3 SLC4A4 SLC4A7 SLC4A8"
"Bile acid and bile salt metabolism"	"ABCC3 NCOA1 NCOA2 RXRA SLC27A2 PTGIS ACOX2 HSD17B4 AKR1C4 AKR1D1 ALB CYP46A1 CYP7A1 SLC10A2 SLC27A5 SLCO1A2 SLCO1B1 SLCO1B3"
"Bile salt and organic anion SLC transporters"	"SLC10A6 SLC47A1 SLC47A2"
"Binding and Uptake of Ligands by Scavenger Receptors"	"HSP90B1 IGKC IGLV1-36 IGLV5-37 COL1A1 COL1A2 COL3A1 COL4A2 ALB APOB CD163 COLEC12 IGHA1 IGHA2 LRP1 MARCO MASP1 SCARA5 SCARB1 STAB1 STAB2"
"Binding and entry of HIV virion"	"CXCR4"
"Biological oxidations"	"NCOA1 NCOA2 RXRA CYP1A2 CYP2A13 CYP3A4 CYP3A5 DPEP2 MGST1 ACSM1 ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 POMC CYP2C19 CYP2C8 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F2 CYP4F3 PTGIS PTGS1 TBXAS1 CYP46A1 CYP7A1 ACSS2 ADH4 BPNT1 CYP11B1 CYP11B2 CYP24A1 CYP26A1 CYP26B1 CYP2B6 CYP2C18 CYP2E1 CYP2R1 CYP2W1 FMO1 GSS GSTA3 GSTM2 MAT2A MTR NNMT OPLAH PAPSS2 SLC35B2 SULT2A1 SULT4A1 UGDH UGT1A1 UGT1A5 UGT1A8 UGT2B10 UGT2B11 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Biosynthesis of A2E, implicated in retinal degradation"	"NAPEPLD"
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	"ALG1 ALG10 ALG10B ALG2 ALG6 DHDDS DPM1 GFPT1 GFPT2 MPI NANS NEU1 PGM3 RFT1 ST3GAL1 ST3GAL3 ST3GAL4 ST3GAL6 ST6GALNAC2 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA5 ST8SIA6"
"Biotin transport and metabolism"	"ACACA ACACB MCCC2 PC PCCA PDZD11 SLC5A6"
"Branched-chain amino acid catabolism"	"MCCC2 ACADSB BCKDHA DBT HIBCH IVD"
"Breakdown of the nuclear lamina"	"CASP6 LMNB1"
"Budding"	"BLOC1S6 PBRM1"
"Budding and maturation of HIV virion"	"UBB UBC VPS37B PDCD6IP VPS4B VTA1"
"Butyrate Response Factor 1 (BRF1) destabilizes mRNA"	"DIS3 EXOSC7 EXOSC8 XRN1"
"C6 deamination of adenosine"	"ADAR ADARB1"
"CD28 co-stimulation"	"AKT2 AKT3 PAK3 RAC1 CD28 CD80 CDC42 FYN GRAP2 LCK LYN MAP3K14 MTOR PIK3CA PIK3R1 RICTOR YES1"
"CD28 dependent PI3K/Akt signaling"	"AKT2 AKT3 CD28 CD80 FYN LCK MAP3K14 MTOR PIK3CA PIK3R1 RICTOR"
"CD28 dependent Vav1 pathway"	"PAK3 RAC1 CD28 CD80 CDC42 FYN LCK"
"CDC6 association with the ORC:origin complex"	"MCM8 ORC5"
"CDK-mediated phosphorylation and removal of Cdc6"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC"
"CDO in myogenesis"	"CTNNB1 MAP2K6 MEF2C BOC CDON CDC42 CDH15 CDH2 CTNNA1 CTNNA2 MEF2B MYF5 MYOG TCF12 TCF4"
"CDT1 association with the CDC6:ORC:origin complex"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC MCM8 ORC5 CDT1"
"CHL1 interactions"	"HSPA8 ITGB1 CHL1 CNTN6 ITGA1 ITGA10 ITGA2 NRP1"
"COPI Mediated Transport"	"GBF1 COPB1 COPB2"
"COPII (Coat Protein 2) Mediated Vesicle Transport"	"SEC23A SEC24B SEC31A"
"COX reactions"	"PTGS1"
"CREB phosphorylation"	"ATF1 RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5"
"CREB phosphorylation through the activation of Adenylate Cyclase"	"ADCY1 ADCY3 ADCY8 PRKACA"
"CREB phosphorylation through the activation of CaMKII"	"ACTN2 AKAP9 CAMK2B GRIN2A GRIN2B NEFL"
"CREB phosphorylation through the activation of Ras"	"HRAS RPS6KA1 RPS6KA2 RPS6KA3 ACTN2 AKAP9 CAMK2B GRIN2A GRIN2B NEFL RASGRF1 RASGRF2 RPS6KA6"
"CRMPs in Sema3A signaling"	"FYN CRMP1 DPYSL2 NRP1 PLXNA1 PLXNA2 PLXNA3 PLXNA4 SEMA3A"
"CS/DS degradation"	"BCAN CSPG4 CSPG5 DCN NCAN VCAN HEXA HYAL1 IDUA"
"CTLA4 inhibitory signaling"	"AKT2 AKT3 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C CD80 CTLA4 FYN LCK LYN YES1"
"CYP2E1 reactions"	"CYP2A13 CYP2C19 CYP2C8 CYP2B6 CYP2E1"
"Ca-dependent events"	"PRKCA ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA ADRBK1 PRKAR2B PDE1A PDE1C PRKCG"
"Ca2+ activated K+ channels"	"KCNMB2 KCNMB4 KCNN1 KCNN2"
"Ca2+ pathway"	"GNB3 GNG12 GNG2 AXIN2 CTNNB1 TCF7L1 PLCB1 PLCB2 PLCB3 PRKCA MAP3K7 PDE6A AGO1 AGO2 AGO3 AGO4 ITPR1 ITPR2 ITPR3 TNRC6A TNRC6B FZD2 FZD4 FZD5 NFATC1"
"CaM pathway"	"PRKCA ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA ADRBK1 PRKAR2B PDE1A PDE1C PRKCG"
"Calcitonin-like ligand receptors"	"CALCR"
"Calmodulin induced events"	"PRKCA ADCY1 ADCY2 ADCY3 ADCY4 ADCY5 ADCY6 ADCY8 ADCY9 PRKACA ADRBK1 PRKAR2B PDE1A PDE1C PRKCG"
"Calnexin/calreticulin cycle"	"EDEM3 UGGT1"
"Cam-PDE 1 activation"	"PDE1A PDE1C"
"Cap-dependent Translation Initiation"	"EIF2S2 EIF3A EIF3B EIF3E EIF3I EIF4B EIF4G1 EIF4H RPL22 RPL26 RPL26L1 RPL36 RPL37 RPS13 RPS20 RPS23 RPS5 EIF4EBP1 EIF2B3 EIF5"
"Cargo trafficking to the periciliary membrane"	"ARL13B SMO CNGB1 RHO RAB3IP ARF4 ARL3 ASAP1 BBS10 BBS12 BBS9 CCT5 CNGA4 EXOC2 EXOC4 EXOC6 EXOC8 GBF1 NPHP3 PKD1 RAB11FIP3 SSTR3 TTC8"
"Caspase-8 activation by cleavage"	"CASP8 FASLG TNFRSF10B"
"Caspase-mediated cleavage of cytoskeletal proteins"	"CASP8 CASP3 CASP7 GSN CASP6 DBNL GAS2 MAPT PLEC SPTAN1 VIM"
"Catecholamine biosynthesis"	"DBH TH"
"Cation-coupled Chloride cotransporters"	"SLC12A1 SLC12A2 SLC12A4 SLC12A5 SLC12A6"
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"	"PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 CCNA1"
"Cell Cycle"	"CDKN1B MDM2 CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ANAPC1 ANAPC7 NEK2 AURKB CCNA1 CDC14A FZR1 PLK1 ATM BRCA1 NBN PRKCA ATR ATRIP CDC45 CLSPN HUS1 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RFC2 RFC4 RFC5 RPA1 YWHAE TFDP1 TP53 PRKCB NEK6 NEK9 AKAP9 PRKACA CDT1 POLA2 POLE CENPE DYNC1H1 KIF18A KIF23 KIF2B MAD1L1 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN ALMS1 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CSNK1E FGFR1OP MAPRE1 NEDD1 NINL ODF2 OFD1 PCNT PLK4 PRKAR2B SFI1 TUBB4A TUBB4B TUBG1 AAAS NUP133 NUP153 NUP188 NUP205 NUP210 NUP214 NUP50 NUP54 NUP62 NUP88 NUPL1 RANBP2 TPR LMNB1 RAD50 RAD51 EP300 RFWD2 CSNK2A1 POLD3 AHCTF1 AJUBA ANKLE2 BLM BRCA2 CASC5 CCNE1 CCNE2 CDC25B CDK11B CDKN2A CENPA CENPF CENPN CENPP CLIP1 DHFR DIDO1 DNA2 DYRK1A E2F4 E2F5 ESCO1 ESPL1 FKBP6 FOXM1 GOLGA2 HIST3H3 HJURP KNTC1 LEMD3 LIN54 LIN9 LPIN2 MASTL MAU2 MIS18A MIS18BP1 MLH1 MLH3 MNAT1 MSH4 MYC NCAPD2 NCAPD3 NCAPG NCAPG2 NCAPH NDC80 NIPBL NPM1 NUF2 NUMA1 PDS5B PPP2R2D PPP2R3B PRDM9 RAB1B RAD21 RB1 RBBP8 RBL1 RBL2 RRM2 RSF1 SETD8 SGOL2 SMC1A SMC1B SMC2 SMC4 SPDL1 STAG1 STAG2 SUN1 SUN2 SYCE1 SYCE2 SYCP1 SYCP2 SYCP3 SYNE1 SYNE2 TAOK1 TERF1 TERF2 TERT TEX15 TMPO TOP2A TOP3A TUBGCP5 TUBGCP6 VRK2 WAPAL XPO1 ZW10 ZWINT"
"Cell Cycle Checkpoints"	"CDKN1B MDM2 PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 UBB UBC ANAPC1 ANAPC7 ATM ATR ATRIP CDC45 CLSPN HUS1 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RFC2 RFC4 RFC5 RPA1 TP53 MAD1L1 RFWD2 CCNE1 CCNE2"
"Cell Cycle, Mitotic"	"CDKN1B CUL1 PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5C PSMA1 PSMB4 PSMC2 PSMC5 PSMC6 PSMD1 PSMD11 PSMD2 PSMD3 SKP1 UBB UBC ANAPC1 ANAPC7 NEK2 AURKB CCNA1 CDC14A FZR1 PLK1 PRKCA CDC45 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM8 ORC5 RFC2 RFC4 RFC5 RPA1 YWHAE TFDP1 PRKCB NEK6 NEK9 AKAP9 PRKACA CDT1 POLA2 POLE CENPE DYNC1H1 KIF18A KIF23 KIF2B MAD1L1 H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN ALMS1 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CSNK1E FGFR1OP MAPRE1 NEDD1 NINL ODF2 OFD1 PCNT PLK4 PRKAR2B SFI1 TUBB4A TUBB4B TUBG1 AAAS NUP133 NUP153 NUP188 NUP205 NUP210 NUP214 NUP50 NUP54 NUP62 NUP88 NUPL1 RANBP2 TPR LMNB1 EP300 CSNK2A1 POLD3 AHCTF1 AJUBA ANKLE2 CASC5 CCNE1 CCNE2 CDC25B CDK11B CDKN2A CENPA CENPF CENPN CENPP CLIP1 DHFR DNA2 DYRK1A E2F4 E2F5 ESCO1 ESPL1 FOXM1 GOLGA2 HIST3H3 KNTC1 LEMD3 LIN54 LIN9 LPIN2 MASTL MAU2 MNAT1 MYC NCAPD2 NCAPD3 NCAPG NCAPG2 NCAPH NDC80 NIPBL NUF2 NUMA1 PDS5B PPP2R2D PPP2R3B RAB1B RAD21 RB1 RBL1 RBL2 RRM2 SETD8 SGOL2 SMC1A SMC2 SMC4 SPDL1 STAG1 STAG2 TAOK1 TMPO TOP2A TUBGCP5 TUBGCP6 VRK2 WAPAL XPO1 ZW10 ZWINT"
"Cell death signalling via NRAGE, NRIF and NADE"	"APH1A UBB UBC YWHAE BCL2L11 CASP3 RASGRF2 RAC1 SOS1 SOS2 ARHGEF11 ARHGEF12 ITSN1 KALRN NGEF TIAM1 TRIO ABR AKAP13 ARHGEF16 ARHGEF17 ARHGEF18 ARHGEF4 ARHGEF6 ECT2 FGD1 FGD3 FGD4 MAGED1 MCF2 MCF2L OBSCN PLEKHG2 TIAM2"
"Cell junction organization"	"CTNNB1 ITGB1 PVR VASP CADM1 CADM2 CADM3 CDH10 CDH11 CDH12 CDH13 CDH15 CDH17 CDH18 CDH2 CDH24 CDH3 CDH5 CDH6 CDH7 CDH8 CDH9 CTNNA1 CTNND1 JUP PVRL3 PVRL4 LAMB3 PLEC DST ITGA6 ITGB4 ARHGEF6 CLDN15 CLDN18 CLDN6 CLDN9 COL17A1 CRB3 FLNA FLNC INADL LIMS2 MPP5 PARD3 PARD6G PRKCI"
"Cell redox homeostasis"	"TPO FGD1"
"Cell surface interactions at the vascular wall"	"HRAS KRAS SOS1 CXADR FYN INPP5D ITGA4 ITGAV ITGB1 LCK LYN PIK3CA PIK3CB PIK3R1 PLCG1 SELL YES1 SLC7A10 SLC7A11 SLC7A7 ITGA6 ITGA5 ITGB3 ATP1B1 ITGA3 SPN APOB ANGPT2 ANGPT4 CD48 FN1 GAS6 GLG1 GRB14 GRB7 ITGAX MERTK OLR1 PROCR PROS1 SELE SELP SIRPG TEK"
"Cell-Cell communication"	"CTNNB1 ACTN2 NCK2 RAC1 FYB FYN ITGB1 PIK3CA PIK3CB PIK3R1 PVR VASP CADM1 CADM2 CADM3 CDH10 CDH11 CDH12 CDH13 CDH15 CDH17 CDH18 CDH2 CDH24 CDH3 CDH5 CDH6 CDH7 CDH8 CDH9 CTNNA1 CTNND1 JUP PVRL3 PVRL4 LAMB3 PLEC PTK2 SPTAN1 DST ITGA6 ITGB4 DCC SPTBN1 ARHGEF6 CLDN15 CLDN18 CLDN6 CLDN9 COL17A1 CRB3 FLNA FLNC INADL LIMS2 MPP5 PARD3 PARD6G PRKCI SIRPG ACTN3 ACTN4 CASK CD2AP DSCAM DSCAML1 IQGAP1 KIRREL KIRREL2 MAGI2 MAPK13 NPHS1 SIRPB1"
"Cell-cell junction organization"	"CTNNB1 PVR CADM1 CADM2 CADM3 CDH10 CDH11 CDH12 CDH13 CDH15 CDH17 CDH18 CDH2 CDH24 CDH3 CDH5 CDH6 CDH7 CDH8 CDH9 CTNNA1 CTNND1 JUP PVRL3 PVRL4 CLDN15 CLDN18 CLDN6 CLDN9 CRB3 INADL MPP5 PARD3 PARD6G PRKCI"
"Cell-extracellular matrix interactions"	"ITGB1 VASP ARHGEF6 FLNA FLNC LIMS2"
"Cellular Senescence"	"CDKN1B MDM2 UBB UBC ANAPC1 ANAPC7 CCNA1 FZR1 ATM NBN FOS MAP2K3 MAP2K6 MAPK10 MAPK9 MAPKAPK3 NFKB1 RPS6KA1 RPS6KA2 RPS6KA3 TFDP1 TP53 HIST1H1B HIST1H1C HIST1H1D SP1 AGO1 AGO3 AGO4 TNRC6A TNRC6B H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN LMNB1 RAD50 CCNE1 CCNE2 CDKN2A HIST3H3 RB1 TERF1 TERF2 BMI1 CABIN1 CBX4 CEBPB EHMT2 EP400 HMGA2 IL1A KDM6B MAP3K5 MAP4K4 MAPKAPK5 PHC1 PHC2 RING1 SCMH1 STAT3 TNIK TXN"
"Cellular response to heat stress"	"UBB ATM HSPA8 ATR RPA1 YWHAE CAMK2B CREBBP MTOR PTGES3 HDAC6 DEDD2 EP300 FKBP4 HSP90AB1 HSPA1L EEF1A1 RPTOR VCP"
"Cellular response to hypoxia"	"UBB UBC CREBBP EP300 ARNT EPAS1 HIF1A HIF3A"
"Cellular responses to stress"	"CDKN1B MDM2 UBB UBC ANAPC1 ANAPC7 CCNA1 FZR1 ATM NBN HSPA8 FOS MAP2K3 MAP2K6 MAPK10 MAPK9 MAPKAPK3 NFKB1 RPS6KA1 RPS6KA2 RPS6KA3 ATR RPA1 YWHAE TFDP1 TP53 HIST1H1B HIST1H1C HIST1H1D CAMK2B CREBBP SP1 AGO1 AGO3 AGO4 MTOR TNRC6A TNRC6B H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN LMNB1 GPX2 PTGES3 RAD50 HDAC6 DEDD2 EP300 FKBP4 HSP90AB1 HSPA1L CCNE1 CCNE2 CDKN2A HIST3H3 RB1 TERF1 TERF2 BMI1 CABIN1 CBX4 CEBPB EHMT2 EP400 HMGA2 IL1A KDM6B MAP3K5 MAP4K4 MAPKAPK5 PHC1 PHC2 RING1 SCMH1 STAT3 TNIK TXN EEF1A1 RPTOR VCP ARNT EPAS1 HIF1A HIF3A ATP7A CAT TXN2 TXNRD1"
"Centrosome maturation"	"PPP2R1A NEK2 PLK1 YWHAE AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CDK5RAP2 CENPJ CEP135 CEP152 CEP164 CEP192 CEP250 CEP41 CEP57 CEP70 CEP72 CSNK1E FGFR1OP MAPRE1 NEDD1 NINL ODF2 OFD1 PCNT PLK4 PRKAR2B SFI1 TUBB4A TUBB4B TUBG1 CDK11B NUMA1 TUBGCP5 TUBGCP6"
"ChREBP activates metabolic gene expression"	"MLXIPL ACACA ACACB FASN AGPAT1"
"Chaperonin-mediated protein folding"	"FBXW7 TUBB4A TUBB4B CCT5 CCT6A FBXW10 FBXW4 FBXW5 LONP2 NOP56 SKIV2L USP11 ACTB PFDN2 TUBA3C TUBB3 TUBB6 VBP1"
"Chemokine receptors bind chemokines"	"CCL2 CCR2 CXCR4 ACKR2 CCL25 CCL3 CX3CL1 CXCL10 CXCL2 CXCL9 XCR1"
"Cholesterol biosynthesis"	"FDFT1 HMGCR HMGCS1 IDI1 TM7SF2 MSMO1"
"Chondroitin sulfate biosynthesis"	"BCAN CSPG4 CSPG5 DCN NCAN VCAN CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2"
"Chondroitin sulfate/dermatan sulfate metabolism"	"AGRN B3GAT3 BCAN CSPG4 CSPG5 DCN GPC5 GXYLT2 HSPG2 NCAN SDC2 VCAN HEXA HYAL1 IDUA CHPF CHST11 CHST12 CHST13 CHST9 CHSY3 CSGALNACT2 DSEL"
"Chromatin modifying enzymes"	"JAK2 CREBBP TBL1X H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN EP300 ACTB CLOCK HDAC3 NCOR1 PBRM1 PRDM9 EHMT2 EP400 KDM6B ACTL6A ARID1A ARID2 ARID4A ARID4B ARID5B ASH2L ATF7IP BRD1 BRD8 BRPF1 BRPF3 CHD3 CHD4 ELP4 ENY2 GATAD2B GPS2 HIST1H2AA HIST1H2AH HIST2H2BF ING3 JADE2 JADE3 KANSL1 KAT2B KAT5 KAT6A KAT6B KDM2A KDM2B KDM3A KDM3B KDM4B KDM4C KDM4D KDM5A KDM5B KDM6A KDM7A KMT2A KMT2B KMT2C KMT2D KMT2E MBIP MCRS1 MORF4L2 MSL2 MTA1 MTA2 MTA3 NCOR2 NSD1 OGT PHF2 PHF20 PRMT7 RCOR1 REST SETD1A SETD2 SETDB1 SMARCA2 SMARCA4 SUPT20H SUPT3H TADA2A TADA2B TADA3 TAF9 TRRAP WDR77 WHSC1 ZZZ3"
"Chromatin organization"	"JAK2 CREBBP TBL1X H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN EP300 ACTB CLOCK HDAC3 NCOR1 PBRM1 PRDM9 EHMT2 EP400 KDM6B ACTL6A ARID1A ARID2 ARID4A ARID4B ARID5B ASH2L ATF7IP BRD1 BRD8 BRPF1 BRPF3 CHD3 CHD4 ELP4 ENY2 GATAD2B GPS2 HIST1H2AA HIST1H2AH HIST2H2BF ING3 JADE2 JADE3 KANSL1 KAT2B KAT5 KAT6A KAT6B KDM2A KDM2B KDM3A KDM3B KDM4B KDM4C KDM4D KDM5A KDM5B KDM6A KDM7A KMT2A KMT2B KMT2C KMT2D KMT2E MBIP MCRS1 MORF4L2 MSL2 MTA1 MTA2 MTA3 NCOR2 NSD1 OGT PHF2 PHF20 PRMT7 RCOR1 REST SETD1A SETD2 SETDB1 SMARCA2 SMARCA4 SUPT20H SUPT3H TADA2A TADA2B TADA3 TAF9 TRRAP WDR77 WHSC1 ZZZ3"
"Chromosome Maintenance"	"RFC2 RFC4 RFC5 RPA1 POLA2 POLE H2AFZ HIST1H2AB HIST1H2AC HIST1H2BD HIST1H2BK HIST1H2BL HIST1H2BM HIST1H2BN POLD3 CASC5 CENPA CENPN CENPP DNA2 HIST3H3 HJURP MIS18A MIS18BP1 NPM1 RSF1 TERF1 TERF2 TERT"
"Chylomicron-mediated lipid transport"	"HSPG2 APOB APOA5 LPL"
"Circadian Clock"	"CUL1 SKP1 UBB UBC MEF2C CHD9 CREBBP HELZ2 MED1 NCOA1 NCOA2 NCOA6 RXRA TBL1X TGS1 CSNK1E EP300 BHLHE40 CCRN4L CLOCK DBP HDAC3 NAMPT NCOR1 NR3C1 PER1 PER2 SERPINE1 HIF1A CPT1A"
"Citric acid cycle (TCA cycle)"	"CS DLST FH NNT OGDH SUCLA2 SUCLG2"
"Class A/1 (Rhodopsin-like receptors)"	"P2RY1 CCL2 CHRM3 C3 C5 RHO ADORA1 ADRA2B ADRA1A ADRB3 CHRM2 DRD2 DRD3 DRD4 DRD5 HRH1 HRH2 HTR1A HTR1B HTR1E HTR1F HTR7 TAAR1 TAAR2 LHB POMC AVPR2 SSTR3 CCR2 CXCR4 ACKR2 CCL25 CCL3 CX3CL1 CXCL10 CXCL2 CXCL9 XCR1 ACKR1 AGT AGTR1 APLNR AVPR1A AVPR1B C3AR1 CCKAR CCKBR CCL23 CYSLTR1 CYSLTR2 EDNRB F2RL1 FFAR1 FFAR3 FPR1 FPR2 GALR1 GALR2 GHSR GPBAR1 GPER1 GPR18 GPR37 GPR37L1 GPR39 HCAR3 HCRTR1 HCRTR2 LPAR1 LPAR3 LPAR4 LPAR6 MC1R MC2R MC4R MCHR2 MTNR1B NMB NMBR NMS NPFFR2 NPSR1 NPY NPY1R NPY5R NTSR2 OPRK1 OPRL1 OXER1 P2RY2 PDYN PENK PPY PRLHR PTGDR PTGER2 PTGER3 PTGER4 RGR RRH RXFP1 RXFP2 S1PR2 S1PR4 SSTR1 SSTR2 SSTR4 SUCNR1 TAC3 TACR2 TACR3 TBXA2R TRH TRHR"
"Class B/2 (Secretin family receptors)"	"GNB3 GNG12 GNG2 PTCH1 SMO ADCYAP1 ADCYAP1R1 GNAS FZD1 FZD2 FZD4 FZD5 FZD8 CALCR CRHR2 GCG GHRHR GIPR GLP2R PTH PTH1R WNT16 WNT2 WNT3 WNT7A WNT7B WNT9A WNT9B"
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"GABBR1 GABBR2 GPRC6A GRM1 GRM2 GRM3 GRM4 GRM5 GRM6 GRM7 GRM8 TAS1R2 TAS1R3 TAS2R1 TAS2R16 TAS2R20 TAS2R39 TAS2R46 TAS2R7 TAS2R8"
